DesignName,ParticipantID,TrialID,Block1,Block2,VV,Oc
Preattention,5,220,3,2,Color,Medium
Preattention,5,221,3,3,Color,Low
Preattention,5,222,3,3,Color,Low
Preattention,5,223,3,3,Color,Low
Preattention,5,224,3,3,Color,Low
Preattention,5,225,3,3,Color,Low
Preattention,6,226,1,1,Color,Low
Preattention,6,227,1,1,Color,Low
Preattention,6,228,1,1,Color,Low
Preattention,6,229,1,1,Color,Low
Preattention,6,230,1,1,Color,Low
Preattention,6,231,1,2,Color,High
Preattention,6,232,1,2,Color,High
Preattention,6,233,1,2,Color,High
Preattention,6,234,1,2,Color,High
Preattention,6,235,1,2,Color,High
Preattention,6,236,1,3,Color,Medium
Preattention,6,237,1,3,Color,Medium
Preattention,6,238,1,3,Color,Medium
Preattention,6,239,1,3,Color,Medium
Preattention,6,240,1,3,Color,Medium
Preattention,6,241,2,1,ColorSize,Low
Preattention,6,242,2,1,ColorSize,Low
Preattention,6,243,2,1,ColorSize,Low
Preattention,6,244,2,1,ColorSize,Low
Preattention,6,245,2,1,ColorSize,Low
Preattention,6,246,2,2,ColorSize,High
Preattention,6,247,2,2,ColorSize,High
Preattention,6,248,2,2,ColorSize,High
Preattention,6,249,2,2,ColorSize,High
Preattention,6,250,2,2,ColorSize,High
Preattention,6,251,2,3,ColorSize,Medium
Preattention,6,252,2,3,ColorSize,Medium
Preattention,6,253,2,3,ColorSize,Medium
Preattention,6,254,2,3,ColorSize,Medium
Preattention,6,255,2,3,ColorSize,Medium
Preattention,6,256,3,1,Size,Low
Preattention,6,257,3,1,Size,Low
Preattention,6,258,3,1,Size,Low
Preattention,6,259,3,1,Size,Low
Preattention,6,260,3,1,Size,Low
Preattention,6,261,3,2,Size,High
Preattention,6,262,3,2,Size,High
Preattention,6,263,3,2,Size,High
Preattention,6,264,3,2,Size,High
Preattention,6,265,3,2,Size,High
Preattention,6,266,3,3,Size,Medium
Preattention,6,267,3,3,Size,Medium
Preattention,6,268,3,3,Size,Medium
Preattention,6,269,3,3,Size,Medium
Preattention,6,270,3,3,Size,Medium
